id,question,audio_clip,option_1,option_2,option_3,option_4,answer_index,audio_length
699dba5d-4575-4d3b-abb1-12de40919a83,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/071016.mp3,Nuh,Al-Ikhlas,Muhammad,Al-Kafirun,1,
aa2ec4e6-f63e-4805-b8f9-e5fb377c43ce,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/071015.mp3,Al-Fajr,Al-Haqqah,Nuh,Ash-Shu'ara,3,
bde086cb-4558-4b4e-a069-01441e7f4563,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/073006.mp3,Al-Muzzammil,Al-Hadid,Yusuf,At-Talaq,1,
20a23f03-e082-4b98-955e-cf283f606b22,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/077044.mp3,At-Takwir,Al-Mursalat,Al-Mu'minun,Al-Hajj,2,
2e1a58f3-0571-4275-bd92-111dc073201b,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/071021.mp3,Al-An'am,Al-Infitar,Nuh,At-Tin,3,
293d7509-decb-4f2f-8d35-dab7c9eb51cf,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/077045.mp3,Yunus,Al-Fath,Al-Mursalat,Al-Ghashiya,3,
946e5dbb-3213-4702-82c8-bfea4067d22b,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/069031.mp3,Al-Anbiya,Ad-Duhaa,Al-Haqqah,Al-Hashr,3,
a4c58c6b-838d-494a-8513-ea897014fa68,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/073009.mp3,Fatir,Al-Hijr,Al-Muzzammil,Al-Bayyina,3,
20f896d6-a993-4fa4-8a86-6f9c377ead89,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/075014.mp3,An-Nahl,Al-Qiyama,Al-Jinn,Al-Ma'idah,2,
6fa2ea3d-413a-4785-9ee6-3a43f42eb27f,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/069035.mp3,An-Nur,Al-Fil,Al-Haqqah,At-Talaq,3,
334276bd-48a9-467c-8a1b-70eb9bf54fc4,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/068003.mp3,Ash-Sharh,Al-Muzzammil,Al-Qalam,Ash-Shams,3,
e879cf98-4195-4a22-aa99-eaf9ec5b0444,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/067014.mp3,An-Nazi'at,Ta-Ha,Al-Mulk,Al-Ghashiya,3,
7ed05690-a0e6-4fbb-8d39-1c8607cf3789,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/069021.mp3,Al-'Alaq,Al-Haqqah,An-Nas,Al-Hujurat,2,
ef4ff9c3-a3a5-4283-91b9-c57159d1446c,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/073013.mp3,Ash-Shura,Al-Muzzammil,Al-Mu'minun,Al-Qamar,2,
8270a899-94da-4e9b-b2e7-aabb3cf5509a,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/076026.mp3,Al-Waqi'a,Al-A'raf,Al-Qasas,Al-Insan,4,
8aabc8ed-7fc4-40cc-b199-2d5e96beb248,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/068013.mp3,Nuh,Al-Qalam,Ya-Sin,Al-Anbiya,2,
420c6020-3e77-46e3-9f20-0b76b1256cfa,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/076024.mp3,Ghafir,At-Takathur,Al-Insan,Al-Fil,3,
2f25e500-b766-4543-8015-61b4db1b8704,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/073010.mp3,Al-Muzzammil,Al-A'la,Al-Qadr,Ash-Shams,1,
0529da8f-8dfa-4d99-9fe1-ad92ae7b3718,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/076008.mp3,Al-Ma'arij,Al-Insan,Ash-Shams,At-Tariq,2,
8af475c8-1ec1-46b1-ad59-7f3b6e90c344,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/071004.mp3,Al-Asr,Az-Zumar,Ibrahim,Nuh,4,
d8cfe70a-2085-4a9d-8803-539e2e36166c,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/067007.mp3,Al-Mulk,Al-Jumu'a,Al-Burooj,Al-Qadr,1,
8897cbb9-f795-40fb-b865-50627382fcef,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/076018.mp3,Al-Qamar,Al-Kawthar,Al-Insan,Al-A'la,3,
6d949551-fcfd-4983-a465-decc2fc28b00,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/067001.mp3,At-Tur,Ash-Sharh,Al-Mulk,Al-Furqan,3,
d2216a0d-5420-41c2-91b1-3bcc7b4c1634,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/071010.mp3,Ya-Sin,Nuh,Al-Furqan,Al-Muddathir,2,
e5ce68ca-125a-4954-8f3d-4d4008dc72c0,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/069046.mp3,Al-Munafiqoon,Al-Kahf,Al-Haqqah,An-Najm,3,
c611c9ec-2a63-4df3-b57f-203bc23b4522,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/067016.mp3,Al-Ghashiya,Al-Munafiqoon,Al-Mulk,Al-Qari'a,3,
862e21b4-2bd8-4acb-a167-09ca593a50ea,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/073001.mp3,Al-Balad,Az-Zalzala,Al-Muzzammil,Al-Falaq,3,
1ecbdf2a-b00b-44fb-885a-43f441862bca,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/074007.mp3,Al-Qamar,Al-Qasas,Al-Balad,Al-Muddathir,4,
5a637bb9-3fb8-49ed-b0d1-d78d008dce10,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/068003.mp3,Al-Infitar,Al-Lail,Al-Qalam,Al-Burooj,3,
6147f35e-b09e-4e6f-ac93-ce808cb0e9ad,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/076018.mp3,Al-Jinn,Al-Qamar,Al-Insan,Nuh,3,
b0d36f2c-9f8b-4074-9287-b0072957e679,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/075004.mp3,Al-Baqarah,Al-Kahf,Al-Qiyama,At-Takathur,3,
055556c5-32b9-4319-a956-ac1951b62e0d,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/076016.mp3,Al-Inshiqaq,Al-Hijr,Al-Insan,Ya-Sin,3,
ed36effb-fd62-4918-b1fb-2ec1d2d6c560,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/072022.mp3,Al-Falaq,Al-Humaza,Ash-Shams,Al-Jinn,4,
a2a94a7f-4e0e-4466-8da2-167541fc4d09,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/074002.mp3,Al-Muddathir,Al-Qadr,Al-Waqi'a,Al-Ahzab,1,
e00d5bc5-c94d-4d97-94bf-0129606310d2,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/072023.mp3,Al-Jinn,Al-Hujurat,Abasa,Al-An'am,1,
1240b7f1-2dc3-4be1-88ab-df1de030497a,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/067014.mp3,Al-Mulk,Al-Hajj,An-Nasr,Yunus,1,
1ff4113d-54fa-4b49-80c3-d83931777d44,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/073020.mp3,Al-Hajj,Al-Hujurat,Al-Muzzammil,Al-Inshiqaq,3,
06b25121-542d-4d63-bc39-86c27c3c42b4,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/067006.mp3,Al-Mulk,Al-Jathiya,Al-Bayyina,Al-Fath,1,
bdd8a7fd-3876-418a-8e30-b3087f7d6743,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/069040.mp3,Al-Haqqah,Al-Hijr,Al-Ikhlas,Al-Insan,1,
eeae4703-b383-42fd-ae0f-2991acca2553,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/071025.mp3,Nuh,Al-Qasas,At-Tariq,Al-Lail,1,
6527c63b-2187-41b6-965d-dc9bfe014db3,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/075014.mp3,Al-Qiyama,Al-Falaq,Az-Zukhruf,Ar-Ra'd,1,
f5acc483-d12c-45e1-a67d-9166bccd635b,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/073018.mp3,An-Naba,Al-Asr,Al-Muzzammil,Fatir,3,
f314693c-c6fc-4834-90ef-eb54c621d1db,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/067027.mp3,An-Najm,At-Talaq,Al-Mulk,Al-Kahf,3,
afed0b2f-224c-4054-a49c-d09e6ecd231d,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/069006.mp3,Al-Ghashiya,Al-Haqqah,Ibrahim,Nuh,2,
09e5b70d-d92c-4a4e-884b-3d5f92a41a61,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/073003.mp3,Nuh,As-Sajda,Al-Muddathir,Al-Muzzammil,4,
47f1134a-5d6e-418c-87bf-cd271c542b1e,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/074045.mp3,Al-Muddathir,Adh-Dhariyat,Al-Mujadila,Al-Hashr,1,
c1e0e565-1baf-4695-b902-5b469e9999b2,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/076011.mp3,Al-Balad,Al-Fath,Al-Inshiqaq,Al-Insan,4,
605f264f-4b99-4be9-8370-d3fa573accd3,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/076004.mp3,Al-Hajj,Al-Insan,Al-Hashr,At-Tariq,2,
d5766f00-53cc-4fc3-9277-36723c0767fc,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/072022.mp3,Al-Qiyama,Al-Jinn,At-Tin,Saba',2,
f61edb12-63df-408d-870d-bc893fd6715b,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/073010.mp3,Al-Muzzammil,Ash-Shura,As-Saffat,At-Talaq,1,
7e902541-a2dc-4dc4-9929-9bcd73bdc44a,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/072012.mp3,Al-Jinn,Al-Ahqaf,An-Nasr,Ya-Sin,1,
8460eac6-243e-42b2-bcbc-e04b458e1058,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/073016.mp3,Al-'Alaq,Al-Inshiqaq,An-Nisa',Al-Muzzammil,4,
5adda7cf-1a0c-47ce-84a5-45a0600e5715,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/067030.mp3,Al-Mujadila,An-Nazi'at,Al-Anfal,Al-Mulk,4,
