id,question,audio_clip,option_1,option_2,option_3,option_4,answer_index,audio_length
b19db090-e5e2-466f-9cb1-773f3ed7fe19,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/049012.mp3,Al-Muzzammil,Al-Ahqaf,Al-Mu'minun,Al-Hujurat,4,
afefb3a5-74da-4cbf-b30d-f980e807d43c,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/057016.mp3,Al-Kahf,At-Tur,Al-Hadid,An-Nisa',3,
2df3e8ee-1868-48eb-9798-d9b7f9dd3a78,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/055046.mp3,Al-Fath,Al-Jathiya,Ar-Rahman,Al-'Adiyat,3,
8c5fd0bd-2480-4b87-8415-b85f08c4d2ef,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/036038.mp3,Ya-Sin,Ad-Duhaa,At-Tahrim,Ash-Shu'ara,1,
ecdb3b66-b9f8-4af7-83de-ef2ee2412ce1,What is the name of this Surah?,https://verses.quran.com/Minshawi/Murattal/mp3/043036.mp3,Al-Hadid,Az-Zukhruf,An-Nas,Qaf,2,
3a2eebc6-11c1-41c0-a702-2cbb50a22d7e,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/037074.mp3,Al-Humaza,Al-Ahzab,As-Saffat,At-Takwir,3,
dbb6f7c8-91a0-4338-add1-c83431c71a70,What is the name of this Surah?,https://verses.quran.com/Alafasy/mp3/042013.mp3,Ash-Shura,Sad,Al-Jinn,At-Taghabun,1,
7577c558-cfd1-48c7-943e-dbf45807e20a,What is the name of this Surah?,https://verses.quran.com/Shuraym/mp3/043082.mp3,Aal-E-Imran,Ar-Ra'd,At-Takwir,Az-Zukhruf,4,
0eedbc83-105b-442c-b33e-9a847182e77e,What is the name of this Surah?,https://verses.quran.com/Rifai/mp3/053043.mp3,Ar-Rum,An-Najm,At-Takwir,Al-Muddathir,2,
702a8406-cf4a-4a2d-b140-ca4f491e10d5,What is the name of this Surah?,https://verses.quran.com/Sudais/mp3/032022.mp3,Al-Mulk,Ar-Rahman,As-Sajda,At-Tur,3,
